G-Function calculated using pygfunction v2.2.3 for a rectangular probe field with 14 x 42 probes.
The following parameters were used for the calculation:
method: detailed with 8 segments 
borehole depth: 25 m
borehole spacing: 10m
borehole radius: 0.110 m
borehole buried depth: 0.5 m
ground thermal diffusivity: 8.745e-7 m2/s    

-- required parameter --           
number_of_probes: 588 

 -- data --
***                
-10.00145149; 0.11692829 
-8.94596669; 0.41193769 
-8.14783289; 0.72741733 
-7.43977885; 1.04239484 
-6.77167086; 1.35456167 
-6.12303267; 1.6636677
-5.48431457; 1.9692851  
-4.8507645; 2.27040199 
-4.2199379; 2.56536842 
-3.59055521; 2.85187927 
-2.96194048; 3.12710942 
-2.33373489; 3.39514679
-1.70574749; 3.70511843 
-1.07787648; 4.16232799 
-0.45006758; 4.85421046 
0.17770816; 5.78990079 
0.80546621; 6.85174471 
1.43321481; 7.82223272
2.06095838; 8.54142114 
2.68869925; 9.00468145 
3.31643868; 9.28612476 
3.94417735; 9.45217429 
4.57191561; 9.54634024 
5.19965365; 9.59695471
5.82739157; 9.62246368 
6.45512943; 9.63445433 
7.08286726; 9.63974592
